"First National Buffalo Bankshares, Inc.","first national buffalo bankshares"
"Bridger Company, The","bridger company the"
"Carbon County Holding Company","carbon county holding company"
"Rsnb Bancorp","rsnb bancorp"
"Pinnacle Bancorp, Inc.","pinnacle bancorp"
"Strategic Growth Bank Incorporated","strategic growth bank incorporated"
"First Artesia Bancshares, Inc.","first artesia bancshares"
"Carlsbad Bancorporation, Inc.","carlsbad"
"James Polk Stone Community Bancshares, Inc.","james polk stone community bancshares"
"New Mexico National Financial Incorporated","new mexico national financial incorporated"
"Lordsburg Financial Corporation","lordsburg financial corporation"
"Fnb Bancorp","fnb bancorp"
"Zions Bancorporation","zions"
"Cortland Bancorp","cortland bancorp"
"North Valley Bancshares, Inc.","north valley bancshares"
"Genbanc, Inc.","genbanc"
"Commodore Financial Network, Inc.","commodore financial network"
"Commercial Bancshares, Inc.","commercial bancshares"
"Magnolia Bancorp, Inc.","magnolia bancorp"
"Fort Cobb Bancshares, Inc.","fort cobb bancshares"
"Ironhorse Financial Group, Inc.","ironhorse financial group"
"United Capital Bancshares, Inc.","united capital bancshares"
"Watonga Bancshares, Inc.","watonga bancshares"
"Arkansas Valley Bancshares, Inc.","arkansas valley bancshares"
"Grandview Bankshares, Inc.","grandview bankshares"
"Griffith Family Financial Holdings, L.L.c.","griffith family financial holdings llc"
"Wilburton State Bancshares, Inc.","wilburton state bancshares"
"Mauch Chunk Trust Financial Corp.","mauch chunk trust financial corporation"
"Fcb Corporation","fcb corporation"
"Bancshares Of Gleason, Inc.","bancshares of gleason"
"Carroll Financial Services, Inc.","carroll financial services"
"Farmers Bankshares, Inc.","farmers bankshares"
"State Bancorp, Inc.","state bancorp"
"First Clay County Banc Corporation","first clay county banc corporation"
"Pioneer Community Group, Inc.","pioneer community group"
"Davis Trust Financial Corporation","davis trust financial corporation"
"Nw Bancshares, Inc.","nw bancshares"
"Citizens Financial Corporation Employee Stock Ownership Plan And Trust","citizens financial corporation employee stock ownership plan and trust"
"Northern Bankshares, Inc.","northern bankshares"
"Deerfield Financial Corporation","deerfield financial corporation"
"Nekoosa Port Edwards Bancorporation, Inc.","nekoosa port edwards"
"Rudolph Bancshares, Inc.","rudolph bancshares"
"Iron Bancshares, Inc.","iron bancshares"
"First Suffield Financial, Inc.","first suffield financial"
"Island Bancorp, Inc.","island bancorp"
"Brookline Bancorp, Inc.","brookline bancorp"
"Grand Bank Corporation","grand bank corporation"
"Mnb Bancorp","mnb bancorp"
"Fnb Bancshares, Inc.","fnb bancshares"
"Cumberland Valley Financial Corporation","cumberland valley financial corporation"
"First Grayson Bancorp, Inc.","first grayson bancorp"
"First National Holding Company Of Jackson, The","first national holding company of jackson the"
"First Southern Bancorp, Inc.","first southern bancorp"
"First National London Bankshares Corporation","first national london bankshares corporation"
"First National Financial Corporation","first national financial corporation"
"First State Bancshares, Inc.","first state bancshares"
"Traditional Bancorporation, Inc.","traditional"
"Citizens National Corporation","citizens national corporation"
"Community Trust Bancorp, Inc.","community trust bancorp"
"First Prestonsburg Bancshares, Inc.","first prestonsburg bancshares"
"Snb Bancorp, Inc.","snb bancorp"
